id	lineage										
287	Pseudomonas aeruginosa;Pseudomonas;Pseudomonadaceae;Pseudomonadales;Gammaproteobacteria;Proteobacteria;;Bacteria										
28901	Salmonella enterica;Salmonella;Enterobacteriaceae;Enterobacterales;Gammaproteobacteria;Proteobacteria;;Bacteria			
1613	Limosilactobacillus fermentum;Limosilactobacillus;Lactobacillaceae;Lactobacillales;Bacilli;Firmicutes;Terrabacteria group;Bacteria
1386	;Bacillus;Bacillaceae;Bacillales;Bacilli;Firmicutes;Terrabacteria group;Bacteria			
1639	Listeria monocytogenes;Listeria;Listeriaceae;Bacillales;Bacilli;Firmicutes;Terrabacteria group;Bacteria			
1423	Bacillus subtilis;Bacillus;Bacillaceae;Bacillales;Bacilli;Firmicutes;Terrabacteria group;Bacteria
1280	Staphylococcus aureus;Staphylococcus;Staphylococcaceae;Bacillales;Bacilli;Firmicutes;Terrabacteria group;Bacteria
562	Escherichia coli;Escherichia;Enterobacteriaceae;Enterobacterales;Gammaproteobacteria;Proteobacteria;;Bacteria			
1351	Enterococcus faecalis;Enterococcus;Enterococcaceae;Lactobacillales;Bacilli;Firmicutes;Terrabacteria group;Bacteria			
2	;;;;;;;Bacteria			